resource_id,title,full_name,url,description,author,stars,forks,language_prog,language_content,skills_keywords,difficulty,topics,updated_at,license
github_0025,Claude-Code-Everything-You-Need-to-Know,wesammustafa/Claude-Code-Everything-You-Need-to-Know,https://github.com/wesammustafa/Claude-Code-Everything-You-Need-to-Know,"The ultimate all-in-one guide to mastering Claude Code. From setup, prompt engineering, commands, hooks, workflows, automation, and integrations, to MCP servers, tools, and the BMAD method—packed with",wesammustafa,1935,220,Python,en,Prompt Engineering;提示词工程,intermediate,,2026-05-28,MIT
github_0097,data-science-complete-tutorial,edyoda/data-science-complete-tutorial,https://github.com/edyoda/data-science-complete-tutorial,For extensive instructor led learning,edyoda,1822,769,Jupyter Notebook,en,数据分析;Pandas;数据处理,intermediate,decision-trees;feature-selection;linear-regression;machine-learning;nearest-neighbors;numpy;pandas;pipeline;scikit-learn,2026-05-27,
github_0041,Tianji,SocialAI-tianji/Tianji,https://github.com/SocialAI-tianji/Tianji,制作懂人情世故的大语言模型 | 涵盖提示词工程、RAG、Agent、LLM微调教程,SocialAI-tianji,1785,158,Python,zh,大语言模型;LLM,intermediate,finetuning;gpt;llm;prompt;qwen;rag,2026-05-27,Apache-2.0
github_0006,langchain-tutorials,samwit/langchain-tutorials,https://github.com/samwit/langchain-tutorials,A set of LangChain Tutorials from my youtube channel ,samwit,1543,393,Jupyter Notebook,en,LangChain;LLM应用,intermediate,,2026-05-25,
github_0026,Prompt-Engineering-Guide-Chinese,wangxuqi/Prompt-Engineering-Guide-Chinese,https://github.com/wangxuqi/Prompt-Engineering-Guide-Chinese,Prompt工程师指南，源自英文版，但增加了AIGC的prompt部分，为了降低同学们的学习门槛，翻译更新,wangxuqi,1373,145,MDX,zh,Prompt Engineering;提示词工程,intermediate,prompt;prompt-engineering;prompt-guide;prompt-toolkit,2026-05-25,MIT
github_0042,Long-Novel-GPT,MaoXiaoYuZ/Long-Novel-GPT,https://github.com/MaoXiaoYuZ/Long-Novel-GPT,该项目包括一个基于 GPT 等大语言模型的长篇小说生成器，同时还有各类小说生成 Prompt 以及教程。我们欢迎社区贡献，持续更新以提供最佳的小说创作体验。,MaoXiaoYuZ,1135,204,Python,zh,大语言模型;LLM,intermediate,ai;chatgpt;gpt;llm;novel,2026-05-27,
github_0080,leetcode-notes,datawhalechina/leetcode-notes,https://github.com/datawhalechina/leetcode-notes,🐳 LeetCode 算法笔记：面试、刷题、学算法。在线阅读地址：https://datawhalechina.github.io/leetcode-notes/,datawhalechina,1110,156,,zh,中文教程;数据科学;机器学习,intermediate,algorithms;data-structures;interviews;leetcode;python;python3,2026-05-27,NOASSERTION
github_0027,Prompt-Engineering-Guide-zh-CN,yunwei37/Prompt-Engineering-Guide-zh-CN,https://github.com/yunwei37/Prompt-Engineering-Guide-zh-CN,🐙 关于提示词工程（prompt）的指南、论文、讲座、笔记本和资源大全（自动持续更新）,yunwei37,1006,93,MDX,zh,Prompt Engineering;提示词工程,intermediate,chatgpt;gpt;gpt4;openai;prompt;prompt-engineering,2026-05-26,NOASSERTION
github_0070,NLP-Tutorials,MorvanZhou/NLP-Tutorials,https://github.com/MorvanZhou/NLP-Tutorials,Simple implementations of NLP models. Tutorials are written in Chinese on my website https://mofanpy.com,MorvanZhou,952,315,Python,en,BERT;NLP;预训练模型,intermediate,attention;bert;elmo;gpt;nlp;seq2seq;transformer;tutorial;w2v,2026-05-20,MIT
github_0093,Natural-Language-Processing-Specialization,amanjeetsahu/Natural-Language-Processing-Specialization,https://github.com/amanjeetsahu/Natural-Language-Processing-Specialization,"This repo contains my coursework, assignments, and Slides for Natural Language Processing Specialization by deeplearning.ai on Coursera",amanjeetsahu,855,692,Jupyter Notebook,en,NLP;自然语言处理,intermediate,course;course-assignment;course-materials;coursera;coursera-specialization;natural-language-generation;natural-language-processing;natural-language-understanding;nlp;nlp-machine-learning,2026-05-27,
github_0081,base-llm,datawhalechina/base-llm,https://github.com/datawhalechina/base-llm,从 NLP 到 LLM 的算法全栈教程，在线阅读地址：https://datawhalechina.github.io/base-llm/,datawhalechina,788,84,Jupyter Notebook,zh,中文教程;数据科学;机器学习,intermediate,bert;deeplearning;docker;fine-tuning;linux;llama;llm;lora;nlp;python,2026-05-27,
github_0028,write-you-a-vector-db,skyzh/write-you-a-vector-db,https://github.com/skyzh/write-you-a-vector-db,A Vector Database Tutorial (over CMU-DB's BusTub system),skyzh,758,22,C++,en,向量数据库;Embedding,intermediate,bustub;database;tutorial;vector-database,2026-05-21,
github_0098,pycon-2019-tutorial,justmarkham/pycon-2019-tutorial,https://github.com/justmarkham/pycon-2019-tutorial,Data Science Best Practices with pandas,justmarkham,529,327,Jupyter Notebook,en,数据分析;Pandas;数据处理,intermediate,data-science;pandas;python;tutorial;vizualisation,2026-05-26,
github_0103,pytorch_tutorials,LukeDitria/pytorch_tutorials,https://github.com/LukeDitria/pytorch_tutorials,Beginner Level Deep Learning Tutorials in Pytorch with Youtube Videos!,LukeDitria,485,149,Jupyter Notebook,en,PyTorch;深度学习,beginner,,2026-05-15,MIT
github_0094,NLP_basis,JackKuo666/NLP_basis,https://github.com/JackKuo666/NLP_basis,This is the notes and code I took while studying an NLP tutorial [2019 Latest AI Natural Language Processing Deep Machine Learning Top Project Practical Course],JackKuo666,454,174,Python,en,NLP;自然语言处理,intermediate,,2026-05-26,
github_0104,Kind-PyTorch-Tutorial,GunhoChoi/Kind-PyTorch-Tutorial,https://github.com/GunhoChoi/Kind-PyTorch-Tutorial,Kind PyTorch Tutorial for beginners,GunhoChoi,391,102,Jupyter Notebook,en,PyTorch;深度学习,beginner,deep-learning;python;pytorch;pytorch-tutorial,2026-04-24,
github_0095,coursera-natural-language-processing-specialization,amanchadha/coursera-natural-language-processing-specialization,https://github.com/amanchadha/coursera-natural-language-processing-specialization,Programming assignments from all courses in the Coursera Natural Language Processing Specialization offered by deeplearning.ai.,amanchadha,369,338,Jupyter Notebook,en,NLP;自然语言处理,intermediate,artificial-intelligence;assignments;course;coursera;coursera-assignment;coursera-specialization;deep-learning;deeplearning;deeplearning-ai;machine-learning,2026-05-25,MIT
github_0099,pycon-2018-tutorial,justmarkham/pycon-2018-tutorial,https://github.com/justmarkham/pycon-2018-tutorial,Using pandas for Better (and Worse) Data Science,justmarkham,328,241,Jupyter Notebook,en,数据分析;Pandas;数据处理,intermediate,,2026-03-18,
github_0100,functional_intro_to_python,noahgift/functional_intro_to_python,https://github.com/noahgift/functional_intro_to_python,"[tutorial]A functional, Data Science focused introduction to Python",noahgift,314,196,Jupyter Notebook,en,数据分析;Pandas;数据处理,beginner,commandline;data-science;functional-programming;ipynb;jupyter-notebook;learning-by-doing;machine-learning;optimization;pandas;python,2026-05-23,NOASSERTION
github_0029,all-classification-templetes-for-ML,sayantann11/all-classification-templetes-for-ML,https://github.com/sayantann11/all-classification-templetes-for-ML,"Classification - Machine Learning This is ‘Classification’ tutorial which is a part of the Machine Learning course offered by Simplilearn. We will learn Classification algorithms, types of classificat",sayantann11,296,57,Python,en,向量数据库;Embedding,intermediate,,2026-05-22,
github_0101,feature-engineering-tutorials,rasgointelligence/feature-engineering-tutorials,https://github.com/rasgointelligence/feature-engineering-tutorials,Data Science Feature Engineering and Selection Tutorials,rasgointelligence,291,100,Jupyter Notebook,en,数据分析;Pandas;数据处理,intermediate,data-cleaning;data-science;exploratory-data-analysis;feature-engineering;feature-selection;features;jupyter;machine-learning;notebook;pandas,2026-05-14,AGPL-3.0
github_0096,cs224n-win2223,floriankark/cs224n-win2223,https://github.com/floriankark/cs224n-win2223,Code and written solutions of the assignments of the Stanford CS224N: Natural Language Processing with Deep Learning course from winter 2022/2023,floriankark,275,70,Python,en,NLP;自然语言处理,intermediate,2023;attention;cs224n;cs224n-assignment-solutions;deep-learning;machine-learning;natural-language-processing;nlp;pytorch;recurrent-neural-networks,2026-05-19,MIT
github_0043,LLM-theory-with-code-tutorials,mlzoo/LLM-theory-with-code-tutorials,https://github.com/mlzoo/LLM-theory-with-code-tutorials,大语言模型(LLM)理论+代码教程，由浅入深，带你系统学习LLM的理论知识并从代码层面理解其如何实现。,mlzoo,231,5,Python,zh,大语言模型;LLM,intermediate,,2026-05-27,NOASSERTION
github_0045,Recommendation-systems,piyushpathak03/Recommendation-systems,https://github.com/piyushpathak03/Recommendation-systems,"Recommendation Systems This is a workshop on using Machine Learning and Deep Learning Techniques to build Recommendation Systesm  Theory: ML & DL Formulation, Prediction vs. Ranking, Similiarity, Bias",piyushpathak03,215,57,Jupyter Notebook,en,Embedding;文本向量化;NLP,intermediate,,2026-04-24,GPL-3.0
github_0044,post-training-of-llms,datawhalechina/post-training-of-llms,https://github.com/datawhalechina/post-training-of-llms,本项目是一个围绕 DeepLearning.AI 出品的 Post-Training for LLMs 系列课程，为国内学习者量身打造的中文翻译与知识整理教程。项目提供课程内容翻译、知识点梳理和示例代码等内容，旨在降低语言门槛，让更多学生、研究人员和开发者系统掌握大语言模型（LLM）后训练阶段的核心技术与实践方法。,datawhalechina,209,30,Jupyter Notebook,zh,大语言模型;LLM,intermediate,,2026-05-23,
github_0105,LSTM-CRF-pytorch-faster,mali19064/LSTM-CRF-pytorch-faster,https://github.com/mali19064/LSTM-CRF-pytorch-faster,A more than 1000X faster paralleled LSTM-CRF implementation modified from the slower version in the Pytorch official tutorial (URL:https://pytorch.org/tutorials/beginner/nlp/advanced_tutorial.html).,mali19064,204,48,Python,en,PyTorch;深度学习,beginner,,2025-03-21,
github_0030,llm-rag-vectordb-python,build-on-aws/llm-rag-vectordb-python,https://github.com/build-on-aws/llm-rag-vectordb-python,"Explore sample applications and tutorials demonstrating the prowess of Amazon Bedrock with Python. Learn to integrate Bedrock with databases, use RAG techniques, and showcase experiments with langchai",build-on-aws,153,31,Jupyter Notebook,en,向量数据库;Embedding,intermediate,amazon-bedrock;langchain-python;llms;node-js;python3;rag,2026-02-18,MIT-0
github_0063,minimind-notes,joyehuang/minimind-notes,https://github.com/joyehuang/minimind-notes,"🚀 [从零构建 LLM] 极简大模型训练原理与实践指南。包含 Transformer, Pretraining, SFT 核心代码与对照实验。 | A minimal, principle-first guide to understanding and building LLMs from scratch.",joyehuang,118,13,Python,zh,Transformer;注意力机制,beginner,ai;deep-learning;llm;machine-learning;minimind;notes;pretraining;pytorch;transformer;tutorial,2026-05-27,Apache-2.0
github_0106,pytorch_tutorials,omaratef3221/pytorch_tutorials,https://github.com/omaratef3221/pytorch_tutorials,Here we will have multiple PyTorch Exercises written in Jupyter notebooks from beginner to advanced,omaratef3221,104,52,Jupyter Notebook,en,PyTorch;深度学习,beginner,,2026-05-09,
github_0058,FastAPI-Microservice-for-Django,codingforentrepreneurs/FastAPI-Microservice-for-Django,https://github.com/codingforentrepreneurs/FastAPI-Microservice-for-Django,"Deploy a microservice REST API endpoint for our Try Django 3.2 https://cfe.sh/projects/try-django-3-2 project using FastAPI, pytesseract, Docker, & DigitalOcean App Platform.",codingforentrepreneurs,87,51,Python,en,FastAPI;API部署,intermediate,digitalocean;digitalocean-app-platform;docker;fastapi;microservice;pytessearct;python3;tutorial,2026-04-08,
