视频标题,URL,UP主,集数,估计时长(小时),覆盖技能(;分隔),难度,技能方向,备注
Milvus/Qdrant/Weaviate/Pinecone/FAISS/Chroma向量数据库横评,https://www.bilibili.com/video/BV1zi1vByEjg/,小天老师的AI大课堂,9,1,vector_db,intermediate,vector_db,播放量1.5万；全面横评6款主流向量数据库
向量数据库三巨头！Milvus vs Chroma vs FAISS 该怎么选？,https://www.bilibili.com/video/BV1Uz6UBHErx/,大模型-小星,1,0.2,vector_db,beginner,vector_db,播放量0.36万；简明对比三大向量库选型指南
【2026最新】台大李宏毅《生成式AI导论》LLM大模型零基础全套,https://www.bilibili.com/video/BV1a6j1z6En9/,AI大模型课堂在线,42,35,llm;transformer;agent;lora_finetune,beginner,llm,播放量395.8万；学院派权威课程；覆盖LLM原理到应用
大模型训练全流程+微调实战（北大博士后卢菁）,https://www.bilibili.com/video/BV1V3BPYiEwW/,人工智能AI大模型课程,26,6,lora_finetune;pytorch;transformer;llm,advanced,lora_finetune,播放量65.1万；LoRA/量化/vLLM实战；进阶必看
【吴恩达】Claude Code全套教程，大模型入门到进阶,https://www.bilibili.com/video/BV1RSFUzVEAG/,吴恩达的AI课,10,1.5,llm,intermediate,llm,播放量42.4万；Claude Code工具使用；LLM工程化参考
15分钟弄懂Token和Embedding：详解LLM与RAG的数据处理机制,https://www.bilibili.com/video/BV1oNv8BPE2m/,隔壁的程序员老王,1,0.25,embedding;llm;rag,beginner,embedding,播放量42.2万；强烈推荐；15分钟讲清楚Embedding核心概念
什么是词嵌入 Word Embedding算法（含Word2Vec/CBOW/Skip-gram）,https://www.bilibili.com/video/BV1sw411S7i1/,小黑黑讲AI,5,0.5,embedding;nlp,beginner,embedding,播放量7.8万；Embedding基础原理；NLP入门必备
Stable Diffusion的Embedding是什么？怎么用？,https://www.bilibili.com/video/BV1Pg4y1t74E/,靠谱的轩轩,1,0.1,sd_only,beginner,扩展了解,播放量411.6万(合集)；SD图像生成Embedding；与NLP文本Embedding不同；已排除在路径资源外
2026年公认最好的AI Agent智能体教程（吴恩达Agentic AI）,https://www.bilibili.com/video/BV1DfrdByE2H/,吴恩达Agent,43,12,agent;llm;langchain,intermediate,agent,播放量256.5万；Agent专项最强资源；涵盖四大设计模式
AI技术全栈教程：PyTorch+Transformer+大模型+RAG+Agent（卢菁）,https://www.bilibili.com/video/BV1YM411y7EP/,卢菁博士_北大AI博士后,37,15,pytorch;transformer;llm;rag;agent,intermediate,综合,播放量147.6万；全栈课程；PyTorch/Transformer/RAG/Agent均覆盖
大模型全栈开发：RAG+Agent+MCP+Transformer+Qwen3+DeepSeek,https://www.bilibili.com/video/BV1p4pezGEWb/,AI大模型基地,合集,20,rag;agent;transformer;llm,intermediate,综合,播放量100.4万；最新2026版；含MCP/A2A协议实战
黑马程序员 Python Web开发 FastAPI从入门到实战,https://www.bilibili.com/video/BV1zV2QBtE39/,黑马程序员,68,18,fastapi,beginner,fastapi,播放量82.5万；FastAPI最强中文课；含实战项目+AI问答功能；首选推荐
从0到1学习FastAPI框架的所有知识点（慕课网官方）,https://www.bilibili.com/video/BV1iN411X72b/,慕课网官方账号,44,8,fastapi,beginner,fastapi,播放量14.6万；慕课网系统课；高性能API服务开发
尚学堂 FastAPI框架入门教程从0到1快速上手,https://www.bilibili.com/video/BV1eKpizeEnb/,尚学堂官方,73,15,fastapi,beginner,fastapi,播放量14.2万；含ORM/中间件/DDD架构进阶内容
